Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2011-05-30,206.8418731689453,208.63457448713518,205.92311921426327,206.51918638458213,3924750
2011-05-31,215.0838165283203,215.9039713347527,207.5051703292402,208.39256237453566,17696730
2011-06-01,214.96282958984375,215.7516088985444,212.86088612224768,214.2278154570981,6571670
2011-06-02,213.0313262939453,213.60896438871822,211.6504100084417,212.5574876012253,6722760
2011-06-03,212.71095275878906,213.98356639399415,211.96634308609862,212.999764963017,5988530
2011-06-06,214.92218017578125,215.7119204703904,211.6774746636002,211.6774746636002,5842800
2011-06-07,214.4934844970703,215.77513244981566,213.3472426464009,213.4645661394425,4063470
2011-06-08,212.5755157470703,214.0873070508919,211.9392228351597,212.66126007999,5139390
2011-06-09,213.25698852539062,214.32201705028743,211.33453030125096,212.53043395154177,3229940
2011-06-10,213.2253875732422,214.31297456032587,210.31463840606565,213.72631578082718,4371910
2011-06-13,214.14144897460938,214.80934854564623,211.57366385347152,212.38597637586398,3917780
2011-06-14,215.0350341796875,216.4340056769104,213.50068411937008,214.62888471842405,6216600
2011-06-15,214.1595001220703,216.23539150093805,213.63601351195746,214.80934461931545,7038940
2011-06-16,211.46990966796875,214.0873293834595,211.0231328940506,213.36527829133058,4212650
2011-06-17,212.0385284423828,213.55483722084276,210.62603284974347,212.14684506568858,7106740
2011-06-20,207.4986572265625,213.13515701683457,205.05724314886695,211.3932080586268,7812850
2011-06-21,209.89488220214844,211.56010688482039,207.76935677209454,207.76935677209454,5078860
2011-06-22,209.63771057128906,211.90313224555038,208.70807444948605,210.51769870904567,3091580
2011-06-23,210.63504028320312,211.14950633868696,208.49145926264563,209.30375814059153,4133790
2011-06-24,215.09371948242188,215.70745404531644,211.3390642925389,212.01146749464743,8287730
2011-06-27,218.07211303710938,219.48912555444423,214.1459702018093,215.08012342270155,10256190
2011-06-28,218.69488525390625,219.32217132565478,217.02515682181567,219.26801990662176,6096810
2011-06-29,224.6562957763672,225.54982169190805,219.77344106990893,219.77344106990893,10252440
2011-06-30,227.04356384277344,227.89197278130266,223.48748760703282,225.54982755469547,13420600
2011-07-01,225.75291442871094,229.93627682063212,223.6544643053585,229.2503358916245,6652420
2011-07-04,228.5463409423828,229.4308462602428,226.75927524287596,228.79905674748565,7161680
2011-07-05,229.3541717529297,230.33344220591027,226.948840252144,227.62576064289726,5318640
2011-07-06,229.72869873046875,231.0554636272743,226.9939418057011,228.7990626152892,5892870
2011-07-07,231.5789337158203,232.40478418843384,228.72233612918848,229.8009024103011,7389020
2011-07-08,230.97874450683594,233.15842186790292,230.4868507291206,231.59700996482442,7544680
2011-07-11,227.8378448486328,231.4255281439134,227.00297367851311,230.96521350063662,3972500
2011-07-12,223.81243896484375,226.54267888887588,222.04793158619918,226.54267888887588,7360900
2011-07-13,227.4181365966797,228.25300768989663,223.6589649587603,224.73753120703034,3720910
2011-07-14,228.3251953125,231.64209336707418,225.09853125193675,227.94160443411377,4677172
2011-07-15,229.67906188964844,230.35598218549535,226.99393920733087,228.55086139657024,2745076
2011-07-18,232.43185424804688,234.16929949020346,229.2503344461194,231.0328966892851,3104948
